iso_code,country,reason,hover
SYR,Syria,No matching deaths-per-million record in dataset,<b>Syria</b><br>ISO3: SYR<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
STP,São Tomé and Principe,No matching deaths-per-million record in dataset,<b>São Tomé and Principe</b><br>ISO3: STP<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
TWN,Taiwan,No matching deaths-per-million record in dataset,<b>Taiwan</b><br>ISO3: TWN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
TJK,Tajikistan,No matching deaths-per-million record in dataset,<b>Tajikistan</b><br>ISO3: TJK<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
TON,Tonga,No matching deaths-per-million record in dataset,<b>Tonga</b><br>ISO3: TON<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
TTO,Trinidad and Tobago,No matching deaths-per-million record in dataset,<b>Trinidad and Tobago</b><br>ISO3: TTO<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
TKM,Turkmenistan,No matching deaths-per-million record in dataset,<b>Turkmenistan</b><br>ISO3: TKM<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
TCA,Turks and Caicos Is.,No matching deaths-per-million record in dataset,<b>Turks and Caicos Is.</b><br>ISO3: TCA<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
TUV,Tuvalu,No matching deaths-per-million record in dataset,<b>Tuvalu</b><br>ISO3: TUV<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
VIR,U.S. Virgin Is.,No matching deaths-per-million record in dataset,<b>U.S. Virgin Is.</b><br>ISO3: VIR<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
ARE,United Arab Emirates,No matching deaths-per-million record in dataset,<b>United Arab Emirates</b><br>ISO3: ARE<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
UZB,Uzbekistan,No matching deaths-per-million record in dataset,<b>Uzbekistan</b><br>ISO3: UZB<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
VUT,Vanuatu,No matching deaths-per-million record in dataset,<b>Vanuatu</b><br>ISO3: VUT<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
VAT,Vatican,No matching deaths-per-million record in dataset,<b>Vatican</b><br>ISO3: VAT<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
VEN,Venezuela,No matching deaths-per-million record in dataset,<b>Venezuela</b><br>ISO3: VEN<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
ESH,W. Sahara,No matching deaths-per-million record in dataset,<b>W. Sahara</b><br>ISO3: ESH<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
WLF,Wallis and Futuna Is.,No matching deaths-per-million record in dataset,<b>Wallis and Futuna Is.</b><br>ISO3: WLF<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
SWZ,eSwatini,No matching deaths-per-million record in dataset,<b>eSwatini</b><br>ISO3: SWZ<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
ALA,Åland,No matching deaths-per-million record in dataset,<b>Åland</b><br>ISO3: ALA<br>Status: Missing from deaths-per-million map<br>Reason: No matching deaths-per-million record in dataset
